model,material,numSamples,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NeuralNetwork,iron,240,identity,0.0001,"(100,)",adaptive,500,0.9381251871817909,0.9381251871817909,0.9381251871817909,0.9381251871817909,0.993143012447058,180.76466464996338,21.127379609770788,0.3079075813293457,0.014555420238164571
NeuralNetwork,iron,240,identity,0.0001,"(100,)",adaptive,600,0.9150643905360886,0.9150643905360886,0.9150643905360886,0.9150643905360886,0.9907288313044031,122.08935899734497,15.415560226136325,0.3273179531097412,0.02602908503021613
NeuralNetwork,iron,240,identity,0.0001,"(100,)",adaptive,700,0.9234800838574422,0.9234800838574422,0.9234800838574422,0.9234800838574422,0.9918923920248963,159.7763228416443,41.77491114487221,0.3352654457092285,0.03729500175370546
NeuralNetwork,iron,240,identity,0.0001,"(100,)",adaptive,800,0.9250074872716383,0.9250074872716383,0.9250074872716383,0.9250074872716383,0.9913422493928721,141.09816389083863,34.90851883028138,0.34714679718017577,0.030608712395509576
NeuralNetwork,iron,240,identity,0.0001,"(100,)",adaptive,900,0.9267744833782569,0.9267744833782569,0.9267744833782569,0.9267744833782569,0.9913532869733048,150.15992436408996,29.899063836191072,0.30854229927062987,0.01853673359981194
NeuralNetwork,iron,240,identity,0.0001,"(100,)",adaptive,1000,0.925876010781671,0.925876010781671,0.925876010781671,0.925876010781671,0.9911645306170584,132.78171606063842,21.969911715975453,0.31833434104919434,0.029537196493758144
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,100,0.9133872416891284,0.9133872416891284,0.9133872416891284,0.9133872416891284,0.9887373131249717,94.80286445617676,12.931388256524786,0.37387948036193847,0.04494734999206645
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,200,0.9123390236597784,0.9123390236597784,0.9123390236597784,0.9123390236597784,0.9894329132679,120.05186586380005,24.026379779300505,0.35062475204467775,0.01686049056648461
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,300,0.9038933812518719,0.9038933812518719,0.9038933812518719,0.9038933812518719,0.9894165364832525,107.29807767868041,20.849258063332094,0.3611745357513428,0.011533020032168417
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,400,0.9270739742437856,0.9270739742437856,0.9270739742437856,0.9270739742437856,0.9917827829931243,144.80651211738586,32.982612764772064,0.3583646774291992,0.01311665605521679
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,500,0.9237196765498652,0.9237196765498652,0.9237196765498652,0.9237196765498652,0.9899487498431968,102.49481620788575,21.16335612622496,0.38372297286987306,0.01773013992684649
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,600,0.9262054507337526,0.9262054507337526,0.9262054507337526,0.9262054507337526,0.9919162328622126,147.4585967540741,36.53865150812928,0.3508493900299072,0.017936560362045148
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,700,0.9218927822701408,0.9218927822701408,0.9218927822701408,0.9218927822701408,0.9907920188021786,120.33936738967896,29.100359603702696,0.37315917015075684,0.04106003136031145
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,800,0.9223719676549866,0.9223719676549866,0.9223719676549866,0.9223719676549866,0.9904630730495384,117.29973864555359,17.491955330137547,0.34386868476867677,0.01050260461368121
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,900,0.9129679544773884,0.9129679544773884,0.9129679544773884,0.9129679544773884,0.9894844214481415,99.36762351989746,18.30296580104123,0.3565685272216797,0.010752996726924034
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",constant,1000,0.9098831985624438,0.9098831985624438,0.9098831985624438,0.9098831985624438,0.9904951208058905,115.37343716621399,12.86326083978205,0.34835095405578614,0.011585213543141138
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",invscaling,100,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9903224988546813,102.10977425575257,10.467695590466375,0.4299787044525146,0.03435105405165484
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",invscaling,200,0.9159329140461218,0.9159329140461218,0.9159329140461218,0.9159329140461218,0.9898696517834175,100.31487698554993,19.63786114302616,0.36542725563049316,0.019233659196420845
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",invscaling,300,0.91350703803534,0.91350703803534,0.91350703803534,0.91350703803534,0.9906136547839841,113.27945218086242,18.358762636795536,0.3561445713043213,0.007159017426481976
NeuralNetwork,iron,240,identity,0.0001,"(100, 100)",invscaling,400,0.9204552261156035,0.9204552261156035,0.9204552261156035,0.9204552261156035,0.9902352891886178,111.76593976020813,22.248188135673615,0.34886856079101564,0.011985341013208698
